Layout,Boss
Kurama,Mezuki
Spirit Stone Mine,Honda Tadakatsu
Komaki-Nagakute (Two Faces of Hospitality),Tatarimokke
Kanegasaki,Magara Naotaka
Sunomata,Imagawa Yoshimoto
Volcano Temple,Shibata Katsuie
Ishiyama Honganji,Obsidian Samurai
Forest,Onryoki
Odani Castle,Saito Toshimitsu
Anegawa,Kashin Koji
Nanbanji,Ryomen Sukuna
Mount Tenno,Hachisuka Koroku
Daigo Temple,Kamaitachi
Byodo-in,Azai Nagamasa
Komaki-Nagakute (The High-Spirited Demon),Oda Nobunaga
The Viper's Sanctum,Shuten Doji
Tatara,Maeda Toshiie
Kitanosho Castle,Yatsu-no-Kami
Yashima,William
Inabayama Castle,Tokichiro (Dream)
Volcano Temple,Kasha
Heian Palace,Saito Yoshitatsu
Shigisan Castle,Magara Naotaka
Jusanzakura,Matsunaga Hisahide
Forest,Enenra
Burial Temple,Saika Magoichi
Honnoji,Gozuki
Kanegasaki,Hachisuka Koroku
Island,Tokichiro (Twilight)
Jurakudai,Otakemaru (Afterglow)
Todai-ji Temple,Tsuchigumo
Okehazama,Saito Toshimitsu
Bathhouse,Giant Toad
Mountain Temple,Maeda Toshiie
Mount Ibuki,Kasha
Rashomon,Tokichiro (Dream)
Odani Castle,Nue
Volcano Temple,Oda Nobunaga
Tatara,Benkei
Okehazama,White Tiger
Spirit Stone Mine,Ashiya Doman
Rashomon,Shibata Katsuie
Heian Palace,Honda Tadakatsu
Forest,Tsuchigumo
Jusanzakura,Kashin Koji
Shigisan Castle,Lightning Gods of Yomi
Daigo Temple,Imagawa Yoshimoto
Ishiyama Honganji,Yoshitsune no Minamoto
Kitanosho Castle,Yorimitsu no Minamoto
Komaki-Nagakute (Two Faces of Hospitality),Nightmare Bringer
Todai-ji Temple,Onryoki
Byodo-in,Ancient Nyotengu
Mount Tenno,Nue
The Viper's Sanctum,Saito Yoshitatsu
Honnoji,Yatsu-no-Kami
Bathhouse,Ryomen Sukuna
Mount Ibuki,Matsunaga Hisahide
Kanegasaki,Magara Naotaka
Yashima,White Tiger
Komaki-Nagakute (The High-Spirited Demon),Giant Toad
Inabayama Castle,Tate Eboshi
Burial Temple,Honda Tadakatsu
Nanbanji,Saika Magoichi
Spirit Stone Mine,Azai Nagamasa
Island,Maeda Toshiie
Kurama,Lightning Gods of Yomi
Anegawa,Kamaitachi
Kitanosho Castle,Obsidian Samurai
Jurakudai,Oda Nobunaga
Mountain Temple,William
Sunomata,Enenra
Todai-ji Temple,Yoshitsune no Minamoto
Yashima,Tatarimokke
Nanbanji,Shuten Doji
Okehazama,Tokichiro (Twilight)
Komaki-Nagakute (The High-Spirited Demon),Tsuchigumo
Bathhouse,Ren Hayabusa
Mount Ibuki,Ryomen Sukuna
Jurakudai,Kasha
Forest,Yorimitsu no Minamoto
Tatara,Ancient Nyotengu
Anegawa,Tate Eboshi
Volcano Temple,Saito Toshimitsu
Mount Tenno,Benkei
Jusanzakura,Imagawa Yoshimoto
Mountain Temple,Shibata Katsuie
Heian Palace,Hachisuka Koroku
Odani Castle,Gozuki
Kanegasaki,Saika Magoichi
Daigo Temple,William
Sunomata,Lightning Gods of Yomi
Spirit Stone Mine,Saito Yoshitatsu
Rashomon,Giant Toad
Honnoji,Matsunaga Hisahide
Anegawa,Yoshitsune no Minamoto
Inabayama Castle,Kamaitachi
Ishiyama Honganji,Obsidian Samurai
The Viper's Sanctum,Mezuki
Kurama,Nue
Mountain Temple,Ren Hayabusa
Island,Ancient Nyotengu
Todai-ji Temple,White Tiger
Burial Temple,Azai Nagamasa
Kitanosho Castle,Tokichiro (Dream)
Komaki-Nagakute (Two Faces of Hospitality),Ashiya Doman
Shigisan Castle,Kashin Koji
Byodo-in,Otakemaru (Afterglow)
Daigo Temple,Nightmare Bringer
